release_date,name,duration_ms,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,explicit
08/01/2021,"Radetzky-Marsch, Op. 228",193307,0.642,0.391,9,-13.798,0.0324,0.94,0.943,0.0696,0.711,101.38,0
08/01/2021,Grubenlichter-Walzer,460707,0.293,0.161,5,-16.573,0.0324,0.952,0.926,0.0477,0.209,97.923,0
08/01/2021,"Schallwellen, Walzer, Op. 148",670947,0.316,0.108,0,-18.232,0.0375,0.936,0.859,0.0785,0.188,101.673,0
08/01/2021,"Niko-Polka, Op. 228",184413,0.5,0.339,7,-16.881,0.0497,0.942,0.914,0.111,0.272,81.163,0
08/01/2021,"An der schönen blauen Donau, Walzer, Op. 314",654107,0.269,0.0833,2,-18.492,0.0347,0.973,0.908,0.0673,0.106,94.013,0
08/01/2021,Dichter und Bauer: Ouvertüre,641453,0.233,0.131,2,-15.626,0.0411,0.947,0.928,0.0903,0.1,149.727,0
08/01/2021,In Saus und Braus,121000,0.634,0.402,5,-12.934,0.0347,0.938,0.66,0.21,0.949,84.487,0
08/04/2021,Volkslied / Folk Song,147377,0.324,0.0316,0,-28.097,0.0514,0.964,0.111,0.0741,0.28,165.309,0
08/04/2021,Introduzione / Introduction,69761,0.466,0.396,2,-16.295,0.051,0.903,0.929,0.0879,0.456,118.698,0
08/04/2021,Jägerchor / Huntsmen's Chorus,150465,0.488,0.201,2,-20.743,0.0363,0.989,0.0506,0.122,0.488,62.089,0
08/01/2021,"Ohne Sorgen, Polka schnell, Op. 271",113933,0.4,0.547,0,-12.044,0.0467,0.891,0.63,0.0663,0.857,166.178,0
08/01/2021,"Kaiserwalzer, Op. 437",783960,0.19,0.06,0,-18.481,0.0371,0.973,0.875,0.154,0.0747,179.934,0
08/01/2021,"Venetianer-Galopp, Op. 74",122920,0.559,0.336,11,-16.448,0.0457,0.739,0.248,0.115,0.645,79.348,0
08/01/2021,Neujahrsgruß / New Year's Address / Allocution du Nouvel An,217360,0.711,0.0983,1,-28.235,0.899,0.778,0,0.62,0.359,111.518,0
08/01/2021,"Bad'ner Mad'ln, Walzer, Op. 257",496307,0.345,0.135,2,-16.442,0.0313,0.957,0.878,0.0927,0.249,97.238,0
08/01/2021,"Margherita-Polka, Op. 244",199067,0.435,0.164,9,-17.914,0.0399,0.967,0.858,0.182,0.755,174.336,0
08/01/2021,"Im Krapfenwald'l, Polka française, Op. 336",251907,0.503,0.147,11,-20.073,0.0545,0.961,0.473,0.0852,0.447,89.08,0
08/01/2021,"Stürmisch in Lieb' und Tanz, Polka schnell, Op. 393",135413,0.391,0.45,5,-14.744,0.0587,0.901,0.379,0.0793,0.609,170.232,0
08/01/2021,"Furioso-Polka, Op. 260",142320,0.386,0.602,11,-13.88,0.0658,0.873,0.919,0.0744,0.406,167.765,0
03/03/2021,Another Life,115263,0.549,0.65,0,-9.265,0.0414,0.0152,0.603,0.468,0.234,151.886,0
28/01/2021,2021 IS MY YEAR,183132,0.844,0.655,7,-7.756,0.157,0.0849,0,0.53,0.389,121.434,1
01/02/2021,Talkin’ to You,216213,0.597,0.736,2,-3.542,0.0421,0.00284,3.94E-06,0.0845,0.756,95.031,0
01/04/2021,Brad's Dad Is Turning 16 Years Old (Live/2021),23493,0.647,0.158,7,-21.896,0.688,0.493,0,0.549,0.638,114.782,0
05/01/2021,Sultry Ambiance for 2021,136069,0,0.00654,5,-22.296,0,0.992,0.85,0.113,0,0,0
03/03/2021,i still remember toronto,169091,0.483,0.259,6,-14.275,0.0633,0.713,0.821,0.102,0.0386,77.123,0
01/01/2021,Bright Jazz Piano Solo - Vibe for New Years Resolutions,137183,0.81,0.0184,6,-20.012,0.168,0.987,0.927,0.106,0.165,126.088,0
08/01/2021,Doubt (2021 Remaster),73367,0.416,0.904,9,-5.447,0.0915,6.82E-05,1.77E-06,0.09,0.344,111.117,0
03/03/2021,Etched,156000,0.642,0.574,4,-7.353,0.0291,0.893,0.873,0.186,0.0519,79.994,0
10/02/2021,The Golden Age,198027,0.332,0.682,5,-10.48,0.0568,0.0249,0.85,0.361,0.165,139.951,0
13/01/2021,Tết: Vietnamese New Year Celebrations,202168,0.361,0.0929,1,-15,0.037,0.95,0.797,0.106,0.0989,79.678,0
26/02/2021,Jupiter - 2021 Rebuild,376657,0.577,0.965,1,-4.263,0.0456,0.000784,0.9,0.153,0.633,159.544,0
01/01/2021,Suave Moods for 2021,154366,0.697,0.0101,0,-20.122,0.459,0.985,0.905,0.134,0.161,112.12,0
08/01/2021,"Boom, Roasted (2021 Remaster)",86615,0.395,0.833,0,-5.3,0.178,0.00109,0,0.482,0.567,108.573,1
02/01/2021,Number One Ambience for 2021,113685,0.561,0.0175,3,-20.792,0.0787,0.991,0.912,0.0935,0.127,79.94,0
08/01/2021,"Mt. Chill, You're Climbin' (2021 Remaster)",52535,0.351,0.877,4,-6.508,0.0513,8.83E-06,0.627,0.739,0.247,108.519,0
26/03/2021,A Thousand Years,285120,0.423,0.407,10,-7.45,0.0267,0.312,0.000961,0.11,0.161,139.048,0
16/01/2021,New Years Eve,127385,0.652,0.486,5,-10.448,0.0297,0.281,0.933,0.0869,0.477,129.936,0
08/01/2021,Contour (2021 Remaster),137063,0.347,0.842,2,-6.347,0.0896,0.000101,0,0.154,0.207,104.778,1
08/01/2021,Mad Nice (2021 Remaster),55052,0.149,0.697,4,-6.528,0.0545,9.64E-06,0.459,0.163,0.312,151.828,0
